RUN	com.testingexcellence.simulations.CreateSimulation	createsimulation	1559220230744	 	3.1.2
REQUEST	55		Conector IMS HttpCode 200	1559220232613	1559220233198	OK	 
REQUEST	177		Conector XO HttpCode 200	1559220232695	1559220233062	KO	j.i.IOException: Premature close
REQUEST	150		Conector XO HttpCode 200	1559220232678	1559220233203	OK	 
REQUEST	113		Conector XO HttpCode 200	1559220232767	1559220233203	KO	j.i.IOException: Premature close
REQUEST	158		Conector XO HttpCode 200	1559220232682	1559220233205	OK	 
REQUEST	9		Conector IMS HttpCode 200	1559220232532	1559220233205	OK	 
REQUEST	190		Conector XO HttpCode 200	1559220232713	1559220233206	OK	 
REQUEST	64		Conector IMS HttpCode 200 Redirect 1	1559220233122	1559220233194	KO	j.i.IOException: Premature close
REQUEST	198		Conector XO HttpCode 200	1559220232724	1559220233208	OK	 
REQUEST	17		Conector IMS HttpCode 200	1559220232553	1559220233211	OK	 
REQUEST	32		Conector IMS HttpCode 200 Redirect 1	1559220233120	1559220233211	KO	j.i.IOException: Premature close
REQUEST	25		Conector IMS HttpCode 200	1559220232556	1559220233212	OK	 
REQUEST	119		Conector XO HttpCode 200	1559220232615	1559220233216	OK	 
REQUEST	45		Conector IMS HttpCode 200	1559220232562	1559220233074	KO	j.i.IOException: Premature close
REQUEST	69		Conector IMS HttpCode 200	1559220232581	1559220233221	KO	j.i.IOException: Premature close
REQUEST	125		Conector XO HttpCode 200	1559220232621	1559220233225	KO	j.i.IOException: Premature close
REQUEST	24		Conector IMS HttpCode 422	1559220233183	1559220233229	OK	 
REQUEST	177		Conector XO HttpCode 400	1559220233202	1559220233229	OK	 
REQUEST	64		Conector IMS HttpCode 422	1559220233207	1559220233231	OK	 
REQUEST	113		Conector XO HttpCode 400	1559220233204	1559220233232	OK	 
REQUEST	9		Conector IMS HttpCode 200 Redirect 1	1559220233206	1559220233233	KO	j.i.IOException: Premature close
REQUEST	32		Conector IMS HttpCode 422	1559220233212	1559220233233	OK	 
REQUEST	17		Conector IMS HttpCode 200 Redirect 1	1559220233211	1559220233240	KO	j.i.IOException: Premature close
REQUEST	70		Conector IMS HttpCode 200 Redirect 1	1559220233064	1559220233254	KO	j.i.IOException: Premature close
REQUEST	62		Conector IMS HttpCode 200 Redirect 1	1559220233082	1559220233256	KO	j.i.IOException: Premature close
REQUEST	25		Conector IMS HttpCode 200 Redirect 1	1559220233213	1559220233242	KO	j.i.IOException: Premature close
REQUEST	33		Conector IMS HttpCode 200	1559220232558	1559220233259	OK	 
REQUEST	27		Conector IMS HttpCode 200	1559220232557	1559220233262	OK	 
REQUEST	43		Conector IMS HttpCode 200	1559220232561	1559220233265	OK	 
REQUEST	75		Conector IMS HttpCode 200	1559220232587	1559220233272	OK	 
REQUEST	177		Conector XO HttpCode 400 Redirect 1	1559220233230	1559220233261	OK	 
REQUEST	127		Conector XO HttpCode 200	1559220232624	1559220233218	OK	 
REQUEST	78		Conector IMS HttpCode 200 Redirect 1	1559220233092	1559220233257	KO	j.i.IOException: Premature close
REQUEST	159		Conector XO HttpCode 200	1559220232682	1559220233294	OK	 
REQUEST	21		Conector IMS HttpCode 200	1559220232555	1559220233295	OK	 
REQUEST	167		Conector XO HttpCode 200	1559220232687	1559220233296	OK	 
REQUEST	134		Conector XO HttpCode 200 Redirect 1	1559220233141	1559220233296	OK	 
REQUEST	29		Conector IMS HttpCode 200	1559220232557	1559220233297	OK	 
REQUEST	175		Conector XO HttpCode 200	1559220232693	1559220233297	OK	 
